CCN REGCESS;CCAA;PROVINCIAS;ÁREA DE SALUD;ZONA BÁSICA DE SALUD;MUNICIPIO;TIPO CENTRO;NOMBRE;DIRECCION;CP;LOCALIDAD;TELEFONO;DEPENDENCIA DE GESTIÓN;MODALIDAD DE GESTIÓN;ACREDITACIÓN DOCENTE POSTGRADUADA
1648000964.0;PAÍS VASCO;BIZKAIA;OSI ARABA;NORTE-LEGUTIANO;Otxandio;CONSULTORIO LOCAL;OTXANDIO;CL UDALETXE, S/N;48210;OTXANDIO;945450941;SERVICIO VASCO DE SALUD - OSAKIDEZTA;Pública Directa;NO
1648000965.0;PAÍS VASCO;BIZKAIA;OSI ARABA;NORTE-LEGUTIANO;Ubide;CONSULTORIO LOCAL;UBIDEA;BAJOS DEL AYUNTAMIENTO, S/N;48145;UBIDEA;945385014;SERVICIO VASCO DE SALUD - OSAKIDEZTA;Pública Directa;NO
1648000897.0;PAÍS VASCO;BIZKAIA;OSI BARAKALDO - SESTAO;LA PAZ;Barakaldo;CENTRO SALUD;LA PAZ;CL LA PAZ, S/N;48903;BARAKALDO;944999990;SERVICIO VASCO DE SALUD - OSAKIDEZTA;Pública Directa;Familia y Comunitaria:Medicina, Obstrético-Ginecología:Enfermería (Matronas), Familia y Comunitaria:Enfermeria
1648004925.0;PAÍS VASCO;BIZKAIA;OSI BARAKALDO - SESTAO;LA PAZ;Barakaldo;CONSULTORIO LOCAL;RETUERTO;CL RETUERTO, Nº 4;48903;BARAKALDO;944595940;SERVICIO VASCO DE SALUD - OSAKIDEZTA;Pública Directa;NO
1648000865.0;PAÍS VASCO;BIZKAIA;OSI BARAKALDO - SESTAO;LUTXANA;Barakaldo;CENTRO SALUD;LUTXANA;CL TEIXIDOR, S/N;48903;BARAKALDO;946007900;SERVICIO VASCO DE SALUD - OSAKIDEZTA;Pública Directa;Familia y Comunitaria:Medicina, Obstrético-Ginecología:Enfermería (Matronas), Familia y Comunitaria:Enfermeria
1648002470.0;PAÍS VASCO;BIZKAIA;OSI BARAKALDO - SESTAO;RONTEGI;Barakaldo;CENTRO SALUD;RONTEGI;ARRONTEGI, Nº 12;48901;BARAKALDO;946007770;SERVICIO VASCO DE SALUD - OSAKIDEZTA;Pública Directa;Familia y Comunitaria:Medicina, Familia y Comunitaria:Enfermeria
1648000895.0;PAÍS VASCO;BIZKAIA;OSI BARAKALDO - SESTAO;SAN VICENTE;Barakaldo;CENTRO SALUD;SAN VICENTE;ELEJALDE, S/N;48902;BARAKALDO;946007940;SERVICIO VASCO DE SALUD - OSAKIDEZTA;Pública Directa;Familia y Comunitaria:Medicina, Pediátrica:Enfermería, Pediátrica:Medicina, Obstrético-Ginecología:Enfermería (Matronas), Familia y Comunitaria:Enfermeria
1648000864.0;PAÍS VASCO;BIZKAIA;OSI BARAKALDO - SESTAO;SESTAO KUETO;Sestao;CENTRO SALUD;KUETO;CL GRAN VIA DE JOSE ANTONIO AGIRRE Y LEKUBE, Nº 56;48910;SESTAO;946007880;SERVICIO VASCO DE SALUD - OSAKIDEZTA;Pública Directa;Familia y Comunitaria:Medicina, Familia y Comunitaria:Enfermeria
1648000898.0;PAÍS VASCO;BIZKAIA;OSI BARAKALDO - SESTAO;SESTAO-MARKONZAGA;Sestao;CENTRO SALUD;AMBULATORIO MARKONZAGA;CL ANTONIO TRUEBA, Nº 15;48910;SESTAO;946007800;SERVICIO VASCO DE SALUD - OSAKIDEZTA;Pública Directa;Obstrético-Ginecología:Enfermería (Matronas)
1648000989.0;PAÍS VASCO;BIZKAIA;OSI BARAKALDO - SESTAO;SESTAO-MARKONZAGA;Sestao;CONSULTORIO LOCAL;LA IBERIA;PLAZA DE LOS TRES CONCEJOS, Nº 1 BAJO 6;48910;SESTAO;946081442;SERVICIO VASCO DE SALUD - OSAKIDEZTA;Pública Directa;NO
1648000912.0;PAÍS VASCO;BIZKAIA;OSI BARAKALDO - SESTAO;URBAN;Barakaldo;CENTRO SALUD;URBAN;PLAZA DESIERTO, Nº 5-6;48901;BARAKALDO;946007580;SERVICIO VASCO DE SALUD - OSAKIDEZTA;Pública Directa;Familia y Comunitaria:Medicina, Familia y Comunitaria:Enfermeria
1648001015.0;PAÍS VASCO;BIZKAIA;OSI BARAKALDO - SESTAO;ZABALLA;Barakaldo;CENTRO SALUD;ZABALLA;C/ MUNIBE, Nº 2-4;48901;BARAKALDO;946007844;SERVICIO VASCO DE SALUD - OSAKIDEZTA;Pública Directa;Familia y Comunitaria:Medicina, Pediátrica:Medicina, Pediátrica:Enfermería, Familia y Comunitaria:Enfermeria
1648000896.0;PAÍS VASCO;BIZKAIA;OSI BARAKALDO - SESTAO;ZUAZO;Barakaldo;CENTRO SALUD;ZUAZO;LURKIZAGA, Nº 6;48902;BARAKALDO;946007700;SERVICIO VASCO DE SALUD - OSAKIDEZTA;Pública Directa;Familia y Comunitaria:Medicina, Familia y Comunitaria:Enfermeria
1648000857.0;PAÍS VASCO;BIZKAIA;OSI BARRUALDE - GALDAKAO;ABADIÑO-ELORRIO-BERRIZ;Abadiño;CENTRO SALUD;ABADIÑO;TRAÑABARREN, Nº 13 - BAJO;48220;ABADIÑO;946032910;SERVICIO VASCO DE SALUD - OSAKIDEZTA;Pública Directa;Familia y Comunitaria:Medicina, Familia y Comunitaria:Enfermeria
